iter	Passed	Remaining
0	46	23651
1	94	24130
2	142	24186
3	190	24176
4	231	23465
5	279	23518
6	322	23214
7	360	22670
8	414	23122
9	466	23371
10	513	23335
11	569	23661
12	624	23925
13	672	23867
14	725	23990
15	776	24026
16	820	23828
17	862	23633
18	919	23817
19	965	23698
20	1013	23659
21	1061	23586
22	1112	23608
23	1157	23482
24	1197	23283
25	1247	23275
26	1294	23196
27	1341	23145
28	1389	23098
29	1435	23021
30	1482	22953
31	1528	22884
32	1576	22837
33	1621	22748
34	1660	22588
35	1711	22581
36	1757	22517
37	1810	22531
38	1855	22451
39	1908	22475
40	1957	22436
41	2001	22347
42	2044	22252
43	2083	22116
44	2130	22064
45	2180	22046
46	2224	21960
47	2277	21971
48	2324	21914
49	2376	21912
50	2421	21838
51	2479	21887
52	2524	21811
53	2566	21722
54	2613	21669
55	2671	21706
56	2721	21674
57	2770	21634
58	2821	21613
59	2866	21545
60	2908	21453
61	2954	21394
62	2999	21327
63	3038	21224
64	3096	21243
65	3143	21197
66	3189	21135
67	3239	21105
68	3285	21049
69	3325	20952
70	3380	20947
71	3428	20901
72	3466	20801
73	3515	20759
74	3564	20718
75	3606	20645
76	3649	20568
77	3693	20504
78	3736	20432
79	3777	20349
80	3826	20311
81	3876	20279
82	3918	20208
83	3962	20142
84	4005	20075
85	4050	20014
86	4093	19948
87	4144	19922
88	4197	19903
89	4241	19841
90	4290	19801
91	4341	19770
92	4394	19750
93	4440	19699
94	4493	19676
95	4546	19652
96	4598	19626
97	4644	19574
98	4687	19507
99	4744	19499
100	4790	19445
101	4834	19385
102	4879	19328
103	4923	19269
104	4967	19209
105	5017	19169
106	5066	19128
107	5116	19091
108	5165	19051
109	5210	18996
110	5255	18940
111	5300	18882
112	5351	18847
113	5398	18798
114	5445	18752
115	5494	18711
116	5537	18648
117	5583	18596
118	5632	18555
119	5679	18505
120	5728	18463
121	5781	18434
122	5832	18397
123	5881	18355
124	5928	18306
125	5973	18251
126	6011	18177
127	6051	18106
128	6090	18035
129	6127	17957
130	6173	17907
131	6227	17879
132	6278	17843
133	6318	17776
134	6363	17724
135	6406	17666
136	6460	17635
137	6503	17579
138	6544	17514
139	6586	17455
140	6630	17399
141	6681	17362
142	6726	17311
143	6778	17274
144	6828	17234
145	6874	17186
146	6924	17146
147	6971	17098
148	7012	17036
149	7057	16983
150	7102	16933
151	7149	16884
152	7194	16834
153	7244	16793
154	7288	16740
155	7335	16693
156	7396	16677
157	7440	16623
158	7485	16572
159	7530	16519
160	7572	16462
161	7615	16405
162	7658	16351
163	7707	16307
164	7757	16267
165	7800	16212
166	7850	16170
167	7893	16115
168	7940	16068
169	7990	16028
170	8038	15983
171	8080	15926
172	8119	15863
173	8156	15797
174	8213	15770
175	8249	15702
176	8287	15638
177	8335	15593
178	8372	15529
179	8409	15463
180	8444	15396
181	8481	15331
182	8538	15304
183	8586	15259
184	8622	15194
