iter	Passed	Remaining
0	9	5669
1	18	5642
2	28	5596
3	38	5661
4	45	5347
5	55	5432
6	61	5227
7	71	5278
8	78	5145
9	88	5229
10	96	5146
11	106	5181
12	113	5118
13	122	5101
14	130	5071
15	137	5005
16	144	4952
17	153	4948
18	163	4973
19	172	4978
20	183	5052
21	191	5008
22	200	5023
23	209	5018
24	218	5016
25	227	5008
26	235	4986
27	245	4988
28	252	4961
29	262	4973
30	270	4943
31	280	4957
32	288	4931
33	298	4957
34	306	4929
35	315	4920
36	323	4911
37	332	4894
38	340	4879
39	348	4859
40	357	4862
41	365	4838
42	374	4836
43	382	4810
44	394	4847
45	401	4821
46	411	4820
47	418	4793
48	428	4798
49	436	4785
50	444	4770
51	452	4751
52	461	4741
53	468	4722
54	477	4717
55	487	4714
56	496	4711
57	506	4712
58	513	4694
59	524	4701
60	531	4681
61	541	4679
62	548	4657
63	558	4659
64	566	4648
65	575	4636
66	584	4634
67	592	4620
68	603	4626
69	611	4611
70	621	4610
71	628	4594
72	638	4594
73	648	4590
74	656	4578
75	668	4590
76	676	4574
77	686	4574
78	694	4563
79	703	4557
80	712	4546
81	720	4534
82	729	4526
83	738	4517
84	747	4513
85	755	4497
86	765	4497
87	773	4481
88	786	4497
89	797	4501
90	806	4491
91	816	4491
92	825	4480
93	835	4477
94	845	4478
95	854	4468
96	865	4469
97	872	4453
98	882	4446
99	894	4456
100	902	4442
101	912	4438
102	920	4423
103	930	4418
104	937	4402
105	948	4401
106	956	4387
107	964	4377
108	973	4368
109	982	4357
110	992	4352
111	1000	4340
112	1011	4339
113	1018	4324
114	1028	4319
115	1035	4303
116	1045	4297
117	1054	4289
118	1062	4278
119	1073	4275
120	1081	4261
121	1093	4264
122	1102	4259
123	1116	4266
124	1131	4281
125	1146	4294
126	1159	4300
127	1171	4301
128	1182	4300
129	1195	4304
130	1210	4316
131	1227	4335
132	1243	4347
133	1259	4361
134	1275	4374
135	1294	4396
136	1308	4403
137	1325	4417
138	1340	4425
139	1357	4441
140	1371	4443
141	1381	4435
142	1392	4430
143	1403	4424
144	1413	4416
145	1423	4408
146	1435	4404
147	1450	4411
148	1461	4405
149	1473	4401
150	1487	4403
151	1498	4398
152	1507	4385
153	1519	4379
154	1530	4374
155	1540	4365
156	1552	4360
157	1563	4354
158	1572	4340
159	1583	4335
160	1593	4325
161	1602	4313
162	1613	4305
163	1623	4295
164	1636	4293
165	1650	4293
166	1667	4302
167	1686	4317
168	1706	4331
169	1721	4333
170	1735	4334
171	1751	4338
172	1768	4345
173	1787	4356
174	1803	4358
175	1817	4358
176	1831	4356
177	1843	4350
178	1855	4342
179	1866	4333
180	1879	4329
181	1892	4325
182	1903	4315
183	1914	4307
184	1926	4301
185	1941	4300
186	1954	4296
187	1964	4284
188	1977	4280
189	1991	4277
190	2004	4271
191	2014	4260
192	2026	4252
193	2038	4244
194	2048	4233
195	2058	4221
