iter	Passed	Remaining
0	8	1654
1	21	2158
2	34	2239
3	40	1992
4	50	1979
5	60	1943
6	68	1901
7	77	1858
8	85	1804
9	92	1752
10	104	1801
11	117	1842
12	129	1857
13	136	1811
14	148	1827
15	160	1842
16	169	1820
17	178	1808
18	200	1909
19	212	1908
20	227	1939
21	238	1926
22	250	1926
23	263	1928
24	275	1931
25	287	1926
26	302	1937
27	315	1940
28	330	1949
29	346	1962
30	362	1974
31	375	1971
32	395	2002
33	413	2017
34	430	2028
35	441	2012
36	448	1976
37	459	1957
38	472	1950
39	482	1929
40	494	1917
41	505	1901
42	517	1889
43	538	1907
44	551	1901
45	569	1906
46	581	1892
47	595	1886
48	605	1866
49	617	1851
50	632	1846
51	641	1824
52	656	1820
53	666	1802
54	680	1795
55	691	1778
56	705	1768
57	723	1772
58	739	1766
59	753	1757
60	771	1756
61	781	1740
62	791	1722
63	813	1729
64	820	1704
65	846	1718
66	879	1745
67	889	1726
68	907	1722
69	946	1757
70	971	1765
71	982	1747
72	996	1733
73	1012	1724
74	1031	1719
75	1047	1708
76	1062	1696
77	1079	1689
78	1101	1687
79	1114	1671
80	1129	1659
81	1141	1642
82	1159	1635
83	1175	1623
84	1193	1615
85	1218	1615
86	1230	1598
87	1246	1586
88	1260	1572
89	1308	1599
90	1327	1589
91	1342	1575
92	1395	1605
93	1404	1583
94	1411	1560
95	1418	1536
96	1430	1518
97	1438	1496
98	1447	1476
99	1453	1453
100	1461	1432
101	1473	1415
102	1490	1403
103	1504	1388
104	1518	1373
105	1531	1357
106	1540	1339
107	1558	1327
108	1570	1311
109	1590	1301
110	1603	1285
111	1633	1283
112	1645	1267
113	1655	1249
114	1669	1233
115	1677	1214
116	1693	1201
117	1714	1191
118	1731	1178
119	1749	1166
120	1766	1153
121	1778	1137
122	1794	1123
123	1813	1111
124	1832	1099
125	1842	1081
126	1896	1090
127	1909	1074
128	1920	1056
129	1962	1056
130	1994	1050
131	2041	1051
132	2058	1037
133	2070	1019
134	2081	1002
135	2096	986
136	2107	969
137	2121	953
138	2140	939
139	2160	925
140	2177	911
141	2216	905
142	2239	892
143	2264	880
144	2280	865
145	2289	846
146	2299	829
147	2313	812
148	2331	798
149	2347	782
150	2362	766
151	2377	750
152	2402	737
153	2410	719
154	2417	701
155	2425	684
156	2444	669
157	2462	654
158	2477	638
159	2486	621
160	2524	611
161	2531	593
162	2539	576
163	2546	559
164	2561	543
165	2578	528
166	2594	512
167	2610	497
168	2627	481
169	2637	465
170	2651	449
171	2665	433
172	2674	417
173	2690	402
174	2703	386
175	2716	370
176	2723	353
177	2733	337
178	2741	321
179	2758	306
180	2771	290
181	2780	275
182	2790	259
183	2804	243
184	2816	228
185	2822	212
186	2836	197
187	2848	181
188	2857	166
189	2867	150
190	2874	135
191	2887	120
192	2902	105
193	2917	90
194	2928	75
195	2937	59
196	2946	44
197	2962	29
198	2970	14
199	2980	0
