iter	Passed	Remaining
0	14	2854
1	24	2473
2	35	2325
3	43	2126
4	51	2009
5	59	1937
6	77	2136
7	90	2162
8	109	2321
9	119	2264
10	132	2271
11	144	2269
12	153	2205
13	161	2143
14	172	2133
15	181	2085
16	196	2119
17	214	2164
18	230	2195
19	287	2584
20	294	2506
21	308	2499
22	318	2453
23	330	2421
24	351	2460
25	368	2465
26	380	2436
27	391	2402
28	401	2365
29	415	2353
30	424	2315
31	443	2328
32	465	2355
33	473	2310
34	486	2293
35	500	2278
36	517	2279
37	528	2252
38	537	2218
39	548	2195
40	560	2174
41	581	2185
42	587	2146
43	599	2124
44	611	2107
45	630	2110
46	637	2074
47	651	2061
48	662	2042
49	670	2010
50	679	1985
51	697	1985
52	719	1994
53	742	2006
54	763	2013
55	780	2007
56	797	2001
57	813	1990
58	829	1983
59	843	1968
60	849	1935
61	864	1924
62	882	1918
63	903	1920
64	924	1920
65	948	1926
66	971	1928
67	984	1911
68	1006	1910
69	1016	1886
70	1025	1863
71	1038	1846
72	1051	1829
73	1062	1808
74	1074	1790
75	1093	1783
76	1108	1770
77	1125	1759
78	1144	1752
79	1158	1737
80	1179	1732
81	1202	1730
82	1222	1723
83	1237	1709
84	1256	1700
85	1278	1694
86	1295	1683
87	1305	1661
88	1312	1636
89	1320	1614
90	1329	1592
91	1349	1584
92	1360	1565
93	1375	1551
94	1384	1529
95	1443	1564
96	1457	1548
97	1466	1526
98	1483	1513
99	1501	1501
100	1514	1484
101	1527	1467
102	1540	1450
103	1548	1429
104	1570	1421
105	1591	1411
106	1601	1391
107	1622	1382
108	1639	1368
109	1658	1357
110	1672	1340
111	1688	1326
112	1697	1307
113	1719	1297
114	1731	1279
115	1744	1263
116	1759	1248
117	1768	1228
118	1776	1208
119	1787	1191
120	1804	1177
121	1811	1157
122	1829	1145
123	1842	1129
124	1851	1110
125	1864	1095
126	1886	1084
127	1914	1076
128	1924	1059
129	1950	1050
130	1962	1033
131	1972	1016
132	1986	1000
133	1998	984
134	2012	968
135	2020	950
136	2037	936
137	2050	921
138	2064	906
139	2087	894
140	2105	881
141	2116	864
142	2137	852
143	2160	840
144	2178	826
145	2187	809
146	2201	793
147	2220	780
148	2240	766
149	2256	752
150	2271	737
151	2290	723
152	2308	709
153	2317	692
154	2341	679
155	2359	665
156	2378	651
157	2391	635
158	2400	619
159	2417	604
160	2436	590
161	2442	572
162	2449	556
163	2456	539
164	2466	523
165	2476	507
166	2484	490
167	2494	475
168	2505	459
169	2516	444
170	2588	438
171	2597	422
172	2604	406
173	2612	390
174	2619	374
175	2627	358
176	2642	343
177	2659	328
178	2673	313
179	2691	299
180	2710	284
181	2723	269
182	2739	254
183	2761	240
184	2772	224
185	2782	209
186	2793	194
187	2811	179
188	2818	164
189	2829	148
190	2841	133
191	2853	118
192	2863	103
193	2897	89
194	2905	74
195	2920	59
196	2929	44
197	2947	29
198	2962	14
199	2972	0
