iter	Passed	Remaining
0	7	1440
1	11	1173
2	15	1048
3	23	1152
4	27	1078
5	31	1021
6	38	1063
7	43	1047
8	48	1020
9	56	1075
10	60	1046
11	64	1016
12	73	1055
13	77	1033
14	82	1013
15	90	1037
16	95	1024
17	102	1034
18	107	1022
19	111	1001
20	118	1008
21	123	999
22	127	980
23	134	983
24	138	969
25	142	951
26	147	943
27	152	937
28	156	920
29	159	906
30	166	905
31	170	892
32	173	877
33	177	866
34	183	867
35	187	854
36	191	842
37	195	833
38	200	828
39	204	817
40	208	807
41	215	812
42	220	804
43	224	795
44	231	797
45	235	788
46	239	779
47	246	780
48	250	771
49	254	762
50	258	754
51	264	752
52	267	743
53	271	734
54	277	731
55	281	725
56	285	716
57	289	708
58	297	710
59	301	702
60	304	694
61	311	694
62	315	686
63	319	679
64	327	680
65	332	674
66	336	667
67	342	665
68	347	659
69	351	652
70	356	646
71	361	642
72	365	635
73	370	630
74	378	631
75	382	624
76	391	624
77	395	618
78	399	612
79	404	606
80	409	601
81	413	594
82	417	587
83	423	584
84	427	577
85	430	570
86	434	564
87	440	560
88	444	553
89	447	547
90	451	541
91	456	536
92	460	529
93	464	523
94	469	518
95	473	512
96	476	506
97	480	500
98	485	495
99	489	489
100	493	484
101	497	477
102	503	473
103	507	468
104	510	461
105	513	455
106	519	451
107	524	446
108	528	441
109	538	440
110	545	437
111	552	433
112	556	428
113	560	422
114	564	417
115	569	412
116	573	406
117	576	400
118	582	396
119	586	391
120	590	385
121	595	380
122	601	376
123	606	371
124	610	366
125	617	362
126	621	357
127	626	352
128	634	348
129	639	344
130	645	339
131	650	335
132	655	330
133	660	325
134	666	321
135	672	316
136	678	312
137	684	307
138	690	303
139	698	299
140	703	294
141	710	290
142	717	286
143	724	281
144	733	278
145	739	273
146	750	270
147	758	266
148	771	263
149	782	260
150	864	280
151	894	282
152	905	278
153	915	273
154	930	270
155	944	266
156	956	261
157	968	257
158	978	252
159	986	246
160	995	241
161	1004	235
162	1016	230
163	1024	224
164	1030	218
165	1042	213
166	1059	209
167	1078	205
168	1101	201
169	1127	198
170	1144	194
171	1164	189
172	1181	184
173	1198	179
174	1215	173
175	1226	167
176	1238	160
177	1247	154
178	1260	147
179	1273	141
180	1283	134
181	1296	128
182	1309	121
183	1321	114
184	1331	107
185	1345	101
186	1358	94
187	1371	87
188	1389	80
189	1423	74
190	1447	68
191	1459	60
192	1474	53
193	1487	45
194	1496	38
195	1511	30
196	1524	23
197	1536	15
198	1547	7
199	1557	0
