iter	RMSEWithUncertainty
0	-4.531146036
1	-4.575445159
2	-4.61653572
3	-4.635569462
4	-4.65178868
5	-4.667395029
6	-4.679560343
7	-4.685881724
8	-4.69233259
9	-4.69875275
10	-4.70481731
11	-4.708318647
12	-4.711454745
13	-4.714593773
14	-4.719346929
15	-4.72235598
16	-4.724473227
17	-4.725590267
18	-4.727109888
19	-4.729409951
20	-4.731713718
21	-4.733805133
22	-4.736649703
23	-4.737625205
24	-4.738870134
25	-4.740590698
26	-4.742838552
27	-4.74470444
28	-4.745936185
29	-4.747332358
30	-4.748069906
31	-4.750411276
32	-4.751545189
33	-4.753033485
34	-4.755241069
35	-4.757166119
36	-4.758428418
37	-4.759505355
38	-4.760984845
39	-4.762265363
40	-4.763579725
41	-4.76536854
42	-4.766881933
43	-4.768776831
44	-4.770213139
45	-4.771796513
46	-4.773232161
47	-4.774565677
48	-4.775666647
49	-4.776844328
50	-4.778133247
51	-4.778706539
52	-4.77933745
53	-4.780556883
54	-4.781403124
55	-4.782566046
56	-4.78349532
57	-4.784334547
58	-4.785017237
59	-4.786477943
60	-4.787646972
61	-4.78861219
62	-4.790060368
63	-4.79136258
64	-4.792521408
65	-4.793841039
66	-4.795207106
67	-4.796517926
68	-4.797415767
69	-4.798375967
70	-4.799508916
71	-4.800195101
72	-4.801210257
73	-4.802071843
74	-4.803346617
75	-4.805000005
76	-4.805688421
77	-4.806064291
78	-4.80669481
79	-4.807654678
80	-4.808739835
81	-4.809582245
82	-4.810340479
83	-4.811684839
84	-4.813023034
85	-4.813832837
86	-4.815299655
87	-4.816361429
88	-4.817059081
89	-4.817852685
90	-4.818789663
91	-4.819518329
92	-4.820159014
93	-4.82095214
94	-4.821406698
95	-4.822681668
96	-4.82335063
97	-4.824152648
98	-4.825073916
99	-4.825981754
100	-4.827161371
101	-4.828163827
102	-4.828676688
103	-4.829538494
104	-4.830285637
105	-4.830951637
106	-4.832486793
107	-4.833410283
108	-4.834404445
109	-4.83496038
110	-4.835377878
111	-4.83667708
112	-4.837819531
113	-4.838490265
114	-4.839463388
115	-4.840060633
116	-4.841040003
117	-4.841665388
118	-4.842185576
119	-4.842731436
120	-4.843042324
121	-4.843801419
122	-4.844472594
123	-4.845036132
124	-4.845658837
125	-4.846347578
126	-4.847178473
127	-4.847922476
128	-4.84837909
129	-4.849045625
130	-4.849664293
131	-4.850334983
132	-4.851147563
133	-4.85227661
134	-4.852925757
135	-4.853753423
136	-4.854399672
137	-4.854916186
138	-4.85575735
139	-4.856799779
140	-4.857419534
141	-4.85800932
142	-4.858346722
143	-4.859053253
144	-4.860569568
145	-4.861615691
146	-4.862119671
147	-4.86279853
148	-4.863311588
149	-4.864165958
150	-4.864868705
151	-4.865391534
152	-4.866625672
153	-4.867818842
154	-4.868423159
155	-4.869278303
156	-4.870432116
157	-4.871029267
158	-4.871596145
159	-4.872605598
160	-4.873148777
161	-4.873513256
162	-4.874026269
163	-4.874655088
164	-4.875374524
165	-4.876044289
166	-4.876794658
167	-4.877285486
168	-4.877883208
169	-4.87854166
170	-4.879466727
171	-4.880553631
172	-4.881139284
173	-4.881777102
174	-4.882610946
175	-4.883667721
176	-4.884525031
177	-4.885019238
178	-4.886022699
179	-4.886556516
180	-4.88714911
181	-4.887660291
182	-4.888126921
183	-4.889409927
184	-4.890278041
185	-4.890829873
186	-4.891587785
187	-4.892487837
188	-4.892935496
189	-4.893535013
190	-4.893890708
191	-4.894601181
192	-4.89593509
193	-4.896698106
194	-4.897752149
195	-4.898408582
196	-4.899243694
197	-4.899744313
198	-4.900507927
199	-4.901089411
200	-4.901795502
201	-4.902717956
202	-4.90363048
203	-4.904315039
204	-4.90474927
205	-4.905402635
206	-4.906040402
207	-4.906541886
208	-4.907111014
209	-4.907566913
210	-4.908275023
211	-4.909166283
212	-4.90996584
213	-4.910514284
214	-4.910900572
215	-4.911651934
216	-4.912105769
217	-4.912895463
218	-4.913648247
219	-4.914384224
220	-4.91494316
221	-4.915811038
222	-4.916392177
223	-4.917061086
224	-4.917835336
225	-4.918286967
226	-4.918823617
227	-4.919226066
228	-4.920093055
229	-4.920513657
230	-4.921356513
231	-4.921905947
232	-4.92246994
233	-4.923233182
234	-4.923852417
235	-4.924354538
236	-4.924945072
237	-4.925485567
238	-4.925909158
239	-4.926623217
240	-4.926941702
241	-4.927792243
242	-4.928271056
243	-4.929062093
244	-4.929903
245	-4.930181678
246	-4.930983449
247	-4.931392367
248	-4.932093366
249	-4.932578279
250	-4.933168077
251	-4.933592934
252	-4.934312368
253	-4.93479334
254	-4.935509235
255	-4.935886843
256	-4.9362398
257	-4.936924641
258	-4.9374877
259	-4.938133418
260	-4.938846222
261	-4.939313119
