iter	Passed	Remaining
0	11	11599
1	23	11711
2	43	14515
3	58	14454
4	105	21015
5	138	22981
6	162	23009
7	181	22558
8	204	22462
9	219	21761
10	232	20864
11	241	19856
12	249	18975
13	260	18317
14	268	17646
15	277	17081
16	285	16523
17	296	16150
18	305	15769
19	316	15499
20	328	15302
21	337	14986
22	346	14735
23	357	14542
24	368	14359
25	382	14343
26	394	14230
27	407	14139
28	418	14028
29	431	13950
30	445	13926
31	455	13779
32	464	13612
33	474	13483
34	483	13336
35	493	13215
36	502	13067
37	510	12920
38	519	12808
39	529	12710
40	538	12604
41	547	12481
42	555	12368
43	563	12240
44	571	12132
45	579	12016
46	588	11935
47	598	11866
48	608	11805
49	620	11788
50	629	11710
51	642	11708
52	659	11789
53	672	11777
54	680	11689
55	690	11640
56	700	11596
57	709	11515
58	719	11482
59	728	11409
60	739	11379
61	752	11391
62	764	11365
63	772	11296
64	783	11276
65	791	11205
66	801	11160
67	812	11135
68	820	11070
69	829	11025
70	838	10970
71	847	10926
72	855	10866
73	864	10822
74	872	10766
75	882	10727
76	891	10686
77	900	10647
78	912	10632
79	921	10597
80	937	10638
81	951	10654
82	972	10745
83	990	10805
84	1005	10825
85	1079	11470
86	1150	12071
87	1168	12105
88	1189	12177
89	1244	12585
90	1260	12587
91	1273	12568
92	1291	12592
93	1307	12606
94	1320	12581
95	1334	12570
96	1349	12559
97	1363	12549
98	1375	12516
99	1386	12477
100	1397	12442
101	1410	12414
102	1422	12390
103	1434	12361
104	1444	12313
105	1456	12284
106	1465	12234
107	1475	12187
108	1486	12147
109	1495	12099
110	1505	12058
111	1514	12008
112	1524	11968
113	1535	11930
114	1544	11882
115	1553	11839
116	1562	11791
117	1572	11752
118	1581	11709
119	1590	11664
120	1601	11631
121	1611	11597
122	1622	11565
123	1631	11525
124	1639	11476
125	1648	11437
126	1657	11390
127	1665	11349
128	1673	11299
129	1681	11251
130	1689	11204
131	1697	11161
132	1704	11113
133	1713	11073
134	1720	11027
135	1728	10983
136	1736	10935
137	1743	10889
138	1751	10848
139	1759	10806
140	1767	10765
141	1774	10721
142	1782	10682
143	1789	10638
144	1798	10606
145	1806	10565
146	1814	10531
147	1822	10490
148	1830	10454
149	1837	10413
150	1846	10382
151	1854	10347
152	1863	10314
153	1870	10276
154	1878	10239
155	1885	10200
156	1893	10164
157	1900	10126
158	1908	10095
159	1916	10059
160	1924	10030
161	1932	9995
162	1940	9962
163	1947	9929
164	1956	9901
165	1964	9869
166	1973	9843
167	1981	9813
168	1991	9794
169	2002	9774
170	2016	9775
171	2027	9762
172	2037	9741
173	2047	9718
174	2056	9693
175	2063	9661
176	2072	9635
177	2079	9603
178	2087	9574
179	2094	9540
180	2102	9511
181	2109	9479
182	2116	9449
183	2124	9423
184	2132	9395
185	2141	9371
186	2149	9344
187	2157	9317
188	2164	9287
189	2171	9258
190	2178	9227
191	2186	9200
192	2193	9170
193	2200	9144
194	2208	9118
195	2218	9099
196	2226	9074
197	2235	9053
198	2243	9029
199	2252	9011
200	2261	8991
201	2271	8972
202	2279	8951
203	2287	8926
204	2296	8905
205	2303	8879
206	2311	8855
207	2319	8833
208	2327	8807
209	2335	8784
210	2343	8763
211	2352	8745
212	2360	8723
213	2368	8700
214	2375	8674
215	2384	8653
216	2394	8640
217	2406	8633
218	2420	8631
219	2431	8620
220	2439	8600
221	2449	8584
222	2457	8563
223	2467	8548
224	2476	8530
225	2485	8512
226	2495	8498
227	2503	8477
228	2512	8459
229	2520	8438
230	2528	8417
231	2536	8395
232	2543	8373
233	2551	8351
234	2559	8331
235	2567	8312
236	2575	8291
237	2582	8269
238	2590	8247
239	2597	8225
240	2604	8203
241	2613	8186
242	2621	8165
243	2628	8144
244	2635	8122
245	2643	8102
246	2650	8079
247	2658	8060
248	2665	8040
249	2674	8023
250	2681	8003
251	2689	7983
252	2696	7961
253	2704	7942
254	2711	7921
255	2718	7899
256	2725	7879
257	2732	7859
258	2740	7839
259	2746	7817
260	2756	7805
261	2765	7791
262	2774	7774
263	2781	7753
264	2789	7735
265	2796	7715
266	2804	7698
267	2812	7681
268	2822	7669
269	2829	7650
270	2837	7632
271	2844	7613
272	2852	7595
273	2859	7577
274	2867	7559
275	2875	7541
276	2883	7525
277	2891	7508
278	2899	7492
279	2906	7474
280	2914	7456
281	2922	7441
282	2929	7421
283	2937	7404
284	2943	7385
285	2952	7370
286	2959	7351
287	2966	7334
288	2974	7318
289	2984	7306
290	2992	7291
291	3002	7279
292	3009	7263
293	3020	7252
294	3027	7235
295	3036	7221
296	3044	7205
297	3052	7191
298	3060	7176
299	3068	7160
300	3075	7142
301	3083	7127
302	3090	7109
303	3099	7096
304	3106	7079
305	3114	7063
306	3121	7045
307	3129	7030
308	3136	7012
309	3143	6997
310	3150	6980
311	3157	6963
312	3165	6948
313	3172	6930
314	3179	6914
315	3185	6896
316	3193	6881
317	3200	6864
318	3210	6854
319	3218	6839
320	3226	6823
321	3232	6806
322	3239	6790
323	3246	6773
324	3253	6756
325	3260	6741
326	3267	6724
327	3275	6709
328	3282	6694
329	3289	6679
330	3297	6663
331	3304	6648
332	3312	6635
333	3319	6619
334	3326	6604
335	3333	6587
336	3341	6573
337	3347	6557
338	3355	6542
339	3362	6526
340	3370	6512
341	3377	6497
342	3383	6481
343	3392	6468
344	3399	6453
345	3407	6441
346	3414	6426
347	3422	6413
348	3430	6398
349	3437	6384
350	3444	6368
351	3451	6354
352	3458	6339
353	3465	6323
354	3472	6308
355	3479	6294
356	3486	6279
357	3493	6264
358	3501	6252
359	3510	6240
360	3518	6228
361	3526	6214
362	3535	6203
363	3542	6189
364	3549	6175
365	3556	6161
366	3563	6146
367	3571	6133
368	3578	6119
369	3587	6108
370	3594	6094
371	3607	6089
372	3617	6080
373	3624	6067
374	3634	6057
375	3642	6044
376	3650	6032
377	3657	6018
378	3665	6005
379	3671	5990
380	3679	5977
381	3685	5962
382	3692	5948
383	3699	5934
384	3706	5920
385	3713	5907
386	3721	5894
387	3729	5882
388	3738	5871
389	3746	5859
390	3753	5846
391	3761	5833
392	3769	5821
393	3777	5809
394	3785	5798
395	3794	5787
396	3803	5776
397	3811	5764
398	3818	5751
399	3826	5739
400	3834	5727
401	3843	5717
402	3851	5704
403	3860	5694
404	3869	5685
405	3877	5672
406	3884	5660
407	3892	5647
408	3899	5635
409	3907	5622
410	3914	5609
411	3920	5595
412	3928	5583
413	3934	5569
414	3942	5557
415	3950	5545
416	3960	5537
417	3967	5524
418	3975	5512
419	3981	5498
420	3990	5488
421	3998	5476
422	4007	5465
423	4014	5453
424	4021	5440
425	4027	5427
426	4034	5414
427	4041	5401
428	4048	5388
429	4056	5377
430	4063	5364
431	4072	5354
432	4078	5341
433	4085	5328
434	4092	5315
435	4099	5302
436	4106	5290
437	4113	5277
438	4120	5265
439	4126	5252
440	4133	5240
441	4140	5227
442	4147	5214
443	4154	5202
444	4161	5190
445	4169	5179
446	4176	5166
447	4183	5154
448	4190	5142
449	4197	5130
450	4205	5119
451	4212	5106
452	4219	5094
453	4225	5082
454	4233	5070
455	4240	5058
456	4248	5047
457	4255	5035
458	4263	5025
459	4271	5014
460	4279	5004
461	4288	4993
462	4296	4982
463	4304	4972
464	4312	4961
465	4320	4950
466	4327	4939
467	4336	4930
468	4344	4918
469	4352	4908
470	4359	4896
471	4368	4886
472	4375	4875
473	4386	4867
474	4396	4859
475	4404	4848
476	4412	4837
477	4419	4826
478	4427	4815
479	4434	4803
480	4440	4791
481	4448	4780
482	4454	4768
483	4462	4757
484	4468	4745
485	4477	4735
486	4485	4725
487	4495	4716
488	4503	4706
489	4511	4695
490	4519	4685
491	4528	4675
492	4535	4664
493	4544	4654
494	4552	4644
495	4561	4635
496	4570	4625
497	4580	4616
498	4588	4607
499	4604	4604
500	4619	4601
501	4646	4609
502	4662	4606
503	4678	4604
504	4694	4601
505	4704	4593
506	4714	4584
507	4723	4574
508	4730	4563
509	4739	4553
510	4746	4542
511	4754	4531
512	4762	4520
513	4770	4510
514	4778	4500
515	4789	4492
516	4797	4481
517	4806	4472
518	4814	4462
519	4824	4453
520	4832	4443
521	4842	4433
522	4851	4424
523	4859	4413
524	4866	4402
525	4874	4392
526	4884	4383
527	4893	4374
528	4902	4365
529	4910	4354
530	4921	4346
531	4930	4337
532	4939	4327
533	4947	4317
534	4955	4306
535	4963	4296
536	4971	4286
537	4979	4275
538	4988	4266
539	4996	4256
540	5004	4246
541	5012	4235
542	5021	4226
543	5029	4215
544	5036	4205
545	5044	4194
546	5051	4183
547	5058	4172
548	5066	4162
549	5073	4150
550	5081	4140
551	5088	4129
552	5096	4119
553	5103	4108
554	5110	4097
555	5119	4087
556	5126	4077
557	5135	4067
558	5141	4056
559	5150	4046
560	5157	4035
561	5164	4024
562	5171	4014
563	5181	4005
564	5189	3995
565	5197	3985
566	5204	3974
567	5212	3964
568	5220	3954
569	5229	3945
570	5237	3934
571	5245	3925
572	5252	3914
573	5260	3903
574	5268	3893
575	5276	3883
576	5283	3873
577	5290	3862
578	5298	3852
579	5305	3841
580	5314	3832
581	5320	3821
582	5330	3812
583	5337	3802
584	5346	3792
585	5353	3782
586	5361	3772
587	5368	3761
588	5377	3752
589	5385	3742
590	5394	3733
591	5401	3722
592	5409	3713
593	5416	3702
594	5424	3692
595	5432	3682
596	5440	3672
597	5448	3662
598	5457	3653
599	5465	3643
600	5473	3633
601	5480	3623
602	5488	3613
603	5495	3602
604	5502	3592
605	5509	3582
606	5517	3572
607	5525	3562
608	5532	3551
609	5541	3542
610	5548	3532
611	5557	3523
612	5565	3513
613	5575	3505
614	5584	3496
615	5591	3485
616	5599	3475
617	5606	3465
618	5614	3455
619	5621	3445
620	5628	3435
621	5636	3425
622	5644	3415
623	5653	3406
624	5660	3396
625	5669	3387
626	5676	3376
627	5684	3367
628	5691	3356
629	5699	3347
630	5706	3337
631	5715	3328
632	5722	3317
633	5730	3308
634	5738	3298
635	5745	3288
636	5756	3280
637	5767	3272
638	5775	3263
639	5784	3253
640	5791	3243
641	5800	3234
642	5807	3224
643	5815	3214
644	5822	3204
645	5830	3194
646	5838	3185
647	5846	3175
648	5853	3165
649	5860	3155
650	5867	3145
651	5875	3135
652	5883	3126
653	5890	3116
654	5899	3107
655	5906	3097
656	5914	3087
657	5921	3077
658	5928	3067
659	5934	3057
660	5942	3047
661	5949	3037
662	5959	3028
663	5968	3020
664	5976	3010
665	5983	3000
666	5993	2992
667	6000	2982
668	6007	2972
669	6014	2962
670	6021	2952
671	6029	2942
672	6036	2932
673	6044	2923
674	6051	2913
675	6059	2904
676	6066	2894
677	6073	2884
678	6080	2874
679	6088	2865
680	6097	2856
681	6105	2847
682	6113	2837
683	6120	2827
684	6128	2818
685	6135	2808
686	6142	2798
687	6149	2788
688	6158	2779
689	6164	2769
690	6173	2760
691	6181	2751
692	6190	2742
693	6198	2733
694	6207	2724
695	6215	2714
696	6224	2705
697	6230	2695
698	6239	2687
699	6246	2677
700	6255	2667
701	6262	2658
702	6270	2649
703	6277	2639
704	6284	2629
705	6292	2620
706	6302	2611
707	6310	2602
708	6319	2593
709	6327	2584
710	6334	2574
711	6342	2565
712	6350	2556
713	6359	2547
714	6368	2538
715	6376	2529
716	6384	2520
717	6392	2510
718	6400	2501
719	6407	2491
720	6417	2483
721	6425	2474
722	6438	2466
723	6450	2459
724	6464	2452
725	6475	2443
726	6490	2437
727	6502	2429
728	6518	2423
729	6530	2415
730	6544	2408
731	6559	2401
732	6572	2393
733	6586	2386
734	6599	2379
735	6608	2370
736	6619	2362
737	6633	2354
738	6645	2346
739	6655	2338
740	6666	2330
741	6678	2322
742	6687	2313
743	6695	2303
744	6703	2294
745	6712	2285
746	6722	2276
747	6738	2270
748	6752	2262
749	6766	2255
750	6778	2247
751	6787	2238
752	6798	2230
753	6807	2220
754	6816	2211
755	6827	2203
756	6839	2195
757	6851	2187
758	6861	2178
759	6869	2169
760	6878	2160
761	6885	2150
762	6895	2141
763	6902	2132
764	6911	2123
765	6919	2113
766	6928	2104
767	6935	2095
768	6945	2086
769	6954	2077
770	6963	2068
771	6972	2059
772	6980	2049
773	6988	2040
774	6996	2031
775	7004	2021
776	7011	2012
777	7019	2002
778	7027	1993
779	7035	1984
780	7043	1974
781	7051	1965
782	7060	1956
783	7068	1947
784	7076	1938
785	7084	1928
786	7091	1919
787	7098	1909
788	7106	1900
789	7113	1890
790	7120	1881
791	7127	1871
792	7135	1862
793	7142	1853
794	7150	1843
795	7158	1834
796	7167	1825
797	7177	1816
798	7188	1808
799	7195	1798
800	7203	1789
801	7210	1780
802	7218	1771
803	7226	1761
804	7234	1752
805	7241	1742
806	7249	1733
807	7256	1724
808	7265	1715
809	7273	1706
810	7282	1697
811	7289	1687
812	7297	1678
813	7305	1669
814	7313	1660
815	7320	1650
816	7328	1641
817	7334	1631
818	7341	1622
819	7349	1613
820	7356	1603
821	7365	1594
822	7373	1585
823	7381	1576
824	7389	1567
825	7398	1558
826	7405	1549
827	7413	1539
828	7419	1530
829	7428	1521
830	7435	1512
831	7444	1503
832	7451	1493
833	7460	1484
834	7467	1475
835	7477	1466
836	7485	1457
837	7495	1449
838	7503	1439
839	7512	1430
840	7519	1421
841	7527	1412
842	7535	1403
843	7544	1394
844	7552	1385
845	7561	1376
846	7573	1368
847	7581	1359
848	7590	1350
849	7599	1341
850	7607	1332
851	7615	1322
852	7623	1313
853	7630	1304
854	7638	1295
855	7645	1286
856	7652	1276
857	7660	1267
858	7666	1258
859	7674	1249
860	7682	1240
861	7691	1231
862	7699	1222
863	7708	1213
864	7715	1204
865	7723	1195
866	7731	1185
867	7738	1176
868	7745	1167
869	7753	1158
870	7761	1149
871	7770	1140
872	7777	1131
873	7786	1122
874	7794	1113
875	7802	1104
876	7810	1095
877	7818	1086
878	7825	1077
879	7833	1068
880	7840	1058
881	7847	1049
882	7854	1040
883	7862	1031
884	7871	1022
885	7878	1013
886	7886	1004
887	7893	995
888	7902	986
889	7909	977
890	7918	968
891	7927	959
892	7935	950
893	7943	941
894	7953	933
895	7967	924
896	7975	915
897	7984	906
898	7991	897
899	8002	889
900	8013	880
901	8021	871
902	8032	862
903	8038	853
904	8046	844
905	8053	835
906	8061	826
907	8068	817
908	8076	808
909	8083	799
910	8091	790
911	8100	781
912	8108	772
913	8117	763
914	8124	754
915	8133	745
916	8141	736
917	8149	727
918	8158	719
919	8167	710
920	8177	701
921	8184	692
922	8193	683
923	8201	674
924	8211	665
925	8220	656
926	8230	648
927	8239	639
928	8248	630
929	8257	621
930	8265	612
931	8274	603
932	8282	594
933	8291	585
934	8299	576
935	8308	568
936	8315	559
937	8324	550
938	8332	541
939	8342	532
940	8350	523
941	8362	514
942	8372	506
943	8380	497
944	8388	488
945	8396	479
946	8404	470
947	8412	461
948	8420	452
949	8428	443
950	8437	434
951	8446	425
952	8455	416
953	8462	408
954	8470	399
955	8477	390
956	8484	381
957	8491	372
958	8498	363
959	8505	354
960	8511	345
961	8518	336
962	8525	327
963	8533	318
