iter	RMSEWithUncertainty
0	-2.454763303
1	-2.483703943
2	-2.510464985
3	-2.533512343
4	-2.552465218
5	-2.571829427
6	-2.594607574
7	-2.609429698
8	-2.626638044
9	-2.645075186
10	-2.665205877
11	-2.681342147
12	-2.698194233
13	-2.713142487
14	-2.727517196
15	-2.74132019
16	-2.751230819
17	-2.763918308
18	-2.774145816
19	-2.785104119
20	-2.798205454
21	-2.805158612
22	-2.81619063
23	-2.823771285
24	-2.832501317
25	-2.842869742
26	-2.852522924
27	-2.862861183
28	-2.868577454
29	-2.874873676
30	-2.883993419
31	-2.891768017
32	-2.901036247
33	-2.909243322
34	-2.915816732
35	-2.923890308
36	-2.930161268
37	-2.936000878
38	-2.945582208
39	-2.950000508
40	-2.954203891
41	-2.959832936
42	-2.966892728
43	-2.970367166
44	-2.973795242
45	-2.979810939
46	-2.987208452
47	-2.99288272
48	-2.996561927
49	-3.000498748
50	-3.003889879
51	-3.007338461
52	-3.014225988
53	-3.018859357
54	-3.022633423
55	-3.027577311
56	-3.032432902
57	-3.038990519
58	-3.041724528
59	-3.046241449
60	-3.051671915
61	-3.055138334
62	-3.06027184
63	-3.064700436
64	-3.067681687
65	-3.070987691
66	-3.073244997
67	-3.076860717
68	-3.08166188
69	-3.085445761
70	-3.087781955
71	-3.09006872
72	-3.092856662
73	-3.09693878
74	-3.100754446
75	-3.103224736
76	-3.109362512
77	-3.111121044
78	-3.113109896
79	-3.115068074
80	-3.119447148
81	-3.121350494
82	-3.123992596
83	-3.125451352
84	-3.128096305
85	-3.129373423
86	-3.13312771
87	-3.134577564
88	-3.138136882
89	-3.140959276
90	-3.142492946
91	-3.144887719
92	-3.150863686
93	-3.153080578
94	-3.158709283
95	-3.162857624
96	-3.164882712
97	-3.167831953
98	-3.172138905
99	-3.175735545
