iter	Passed	Remaining
0	2	209
1	4	206
2	6	197
3	9	230
4	12	232
5	14	219
6	16	219
7	18	213
8	21	217
9	24	223
10	28	232
11	31	232
12	33	227
13	35	220
14	40	232
15	43	228
16	45	220
17	47	216
18	49	212
19	52	210
20	57	215
21	60	214
22	63	214
23	67	212
24	69	208
25	71	203
26	73	197
27	74	192
28	76	187
29	78	182
30	80	178
31	82	174
32	86	175
33	89	173
34	91	170
35	94	168
36	96	164
37	101	165
38	107	168
39	111	167
40	116	168
41	122	169
42	127	169
43	130	166
44	135	165
45	141	165
46	146	164
47	181	196
48	185	192
49	187	187
50	189	181
51	191	176
52	193	171
53	196	167
54	199	163
55	201	158
56	204	154
57	207	150
58	209	145
59	230	153
60	239	152
61	241	148
62	244	143
63	246	138
64	248	133
65	250	129
66	252	124
67	254	119
68	256	115
69	259	111
70	261	106
71	263	102
72	266	98
73	271	95
74	277	92
75	282	89
76	287	85
77	293	82
78	298	79
79	302	75
80	308	72
81	312	68
82	314	64
83	318	60
84	323	57
85	327	53
86	330	49
87	333	45
88	337	41
89	340	37
90	344	34
91	349	30
92	351	26
93	356	22
94	359	18
95	364	15
96	371	11
97	376	7
98	383	3
99	389	0
