iter	Passed	Remaining
0	1	165
1	3	160
2	4	156
3	6	154
4	8	152
5	9	150
6	11	148
7	12	148
8	14	147
9	16	148
10	19	153
11	20	150
12	22	148
13	23	145
14	26	149
15	28	151
16	30	149
17	32	145
18	33	143
19	35	140
20	36	138
21	38	135
22	39	133
23	42	135
24	44	133
25	46	131
26	47	128
27	49	126
28	50	124
29	52	122
30	54	121
31	58	124
32	60	122
33	62	121
34	64	119
35	65	117
36	67	115
37	69	113
38	72	113
39	74	112
40	76	110
41	78	108
42	80	106
43	81	104
44	85	104
45	88	103
46	91	103
47	94	102
48	96	100
49	99	99
50	102	98
51	106	98
52	108	96
53	111	95
54	113	92
55	115	90
56	116	88
57	119	86
58	121	84
59	123	82
60	125	80
61	128	78
62	131	76
63	132	74
64	135	73
65	137	70
66	138	68
67	140	66
68	142	64
69	144	61
70	146	59
71	148	57
72	152	56
73	155	54
74	157	52
75	159	50
76	161	48
77	162	45
78	166	44
79	170	42
80	172	40
81	176	38
82	177	36
83	180	34
84	183	32
85	186	30
86	188	28
87	190	25
88	192	23
89	193	21
90	195	19
91	199	17
92	203	15
93	206	13
94	211	11
95	215	8
96	217	6
97	219	4
98	220	2
99	222	0
