iter	Passed	Remaining
0	4	440
1	8	395
2	11	384
3	16	389
4	20	388
5	23	365
6	25	344
7	28	325
8	30	308
9	33	302
10	37	301
11	40	293
12	43	290
13	45	281
14	49	278
15	53	281
16	57	279
17	60	276
18	64	273
19	68	274
20	72	271
21	75	266
22	78	261
23	81	256
24	86	258
25	88	253
26	91	246
27	94	242
28	97	237
29	100	235
30	103	230
31	106	225
32	108	220
33	111	216
34	114	211
35	116	207
36	119	203
37	121	198
38	123	193
39	126	189
40	128	184
41	131	181
42	134	177
43	136	174
44	139	170
45	141	166
46	143	162
47	146	159
48	149	155
49	151	151
50	153	147
51	156	144
52	158	140
53	161	137
54	164	134
55	166	130
56	168	127
57	170	123
58	173	120
59	176	117
60	179	114
61	182	111
62	184	108
63	186	105
64	189	102
65	191	98
66	196	96
67	199	93
68	203	91
69	205	88
70	207	84
71	212	82
72	214	79
73	217	76
74	219	73
75	222	70
76	226	67
77	229	64
78	232	61
79	234	58
80	237	55
81	239	52
82	244	50
83	246	47
84	249	43
85	252	41
86	255	38
87	259	35
88	262	32
89	265	29
90	268	26
91	271	23
92	276	20
93	279	17
94	282	14
95	285	11
96	288	8
97	293	5
98	297	3
99	300	0
